"estacion","lat","lng","coord","linea","conexiones"
"Sevilla",19.421916,-99.17058,"19.421916,-99.17058","1","Chapultepec,Insurgentes"
"Tacuba",19.459349,-99.189205,"19.459349,-99.189205","2,7","Panteones,Cuitláhuac,Refinería,San Joaquín"
"Tacubaya",19.403439,-99.187102,"19.403439,-99.187102","1,7,9","Observatorio,Juanacatlán,Constituyentes,San Pedro de los Pinos,Patriotismo"
"Talismán",19.47428,-99.108009,"19.47428,-99.108009","4","Martín Carrera,Bondojito"
"Tasqueña",19.344168,-99.142685,"19.344168,-99.142685","2","General Anaya"
"Tepalcates",19.391335,-99.046383,"19.391335,-99.046383","A","Canal de San Juan,Guelatao"
"Tepito",19.442495,-99.12333,"19.442495,-99.12333","B","Morelos,Lagunilla"
"Terminal Aérea",19.433734,-99.087667,"19.433734,-99.087667","5","Oceanía,Hangares"
"Tezonco",19.306111111111,-99.065,"19.306111111111,-99.065","12","Periférico Oriente,Olivos"
"Tezozómoc",19.495116,-99.196286,"19.495116,-99.196286","6","El Rosario,Azcapotzalco"
"Tláhuac",19.286256,-99.014114,"19.286256,-99.014114","12","Tlaltenco"
"Tlaltenco",19.294166666667,-99.023888888889,"19.294166666667,-99.023888888889","12","Zapotitlán,Tláhuac"
"Tlatelolco",19.454979,-99.142814,"19.454979,-99.142814","3","La Raza,Guerrero"
"UAM-I",19.351234,-99.074707,"19.351234,-99.074707","8","Cerro de la Estrella,Constitución de 1917"
"Universidad",19.324427,-99.17397,"19.324427,-99.17397","3","Copilco"
"Valle Gómez",19.458742,-99.119296,"19.458742,-99.119296","5","Misterios,Consulado"
"Vallejo",19.490625,-99.15586,"19.490625,-99.15586","6","Norte 45,Instituto del Petróleo"
"Velódromo",19.408478,-99.103074,"19.408478,-99.103074","9","Mixiuhca,Ciudad Deportiva"
"Viaducto",19.400808,-99.136891,"19.400808,-99.136891","2","Chabacano,Xola"
"Villa de Aragón",19.461656,-99.061704,"19.461656,-99.061704","B","Nezahualcóyotl,Bosque de Aragón"
"Villa de Cortés",19.38753,-99.138994,"19.38753,-99.138994","2","Xola,Nativitas"
"Viveros/Derechos Humanos",19.353724,-99.176052,"19.353724,-99.176052","3","Coyoacán,Miguel Ángel de Quevedo"
"Xola",19.3952,-99.1377,"19.3952,-99.1377","2","Viaducto,Villa de Cortés"
"Zapata",19.370952,-99.164937,"19.370952,-99.164937","3,12","División del Norte,Coyoacán,Hospital 20 de Noviembre,Parque de los venados"
"Zapotitlán",19.296666666667,-99.034444444444,"19.296666666667,-99.034444444444","12","Nopalera,Tlaltenco"
"Zaragoza",19.412344,-99.08241,"19.412344,-99.08241","1","Gómez Farías,Pantitlán"
"Zócalo Tenochtitlan",19.433248,-99.1329,"19.433248,-99.1329","2","Allende,Pino Suárez"
